==================== [ 데이터 갱신 완료 ] ====================

2024-08-06 15:03:34.185404 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3629000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:04:38.602325 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3628000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:05:43.280044 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3629000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:06:48.165829 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3636000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:07:52.482791 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3634000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:08:56.716456 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3632000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:10:03.143859 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3621000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:11:08.102214 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3613000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:12:12.013562 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3610000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:13:16.094948 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3608000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:14:20.024568 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3610000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:15:26.096468 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3609000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:16:30.071819 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3608000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:17:34.359028 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3604000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:18:38.272666 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3608000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:19:42.278854 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3612000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:20:46.274132 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3615000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:21:50.161966 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3615000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:22:54.064124 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3619000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:23:58.053617 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3625000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:25:02.129226 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3632000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:26:06.169424 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3630000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:27:10.326843 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3631000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:28:14.473370 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3631000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:32:02.132857 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3625000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:33:06.099582 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3624000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:34:09.981313 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3635000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:35:14.170225 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3633000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:36:18.455608 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3637000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:37:22.500870 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3642000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:38:26.514992 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3641000.0 	MA5 : 4019200.0 	Buy_yn : False
